Part Name,Part Library Name,Description,Vendor,Shape Code,Physical Class,Functional Class,L,W,T,Supply Type,Supply Kind,Tape Kind,Tape Width,Tape Pitch,Reel Size,Part Count,Supply Direction,Creation Date,Modification Date,Pickup Error Setting,Recog Error Stop,Polarity,Nozzle,Vacuum Sensor Pickup Check,Vacuum Sensor Mount Check,Pickup Gap,Mount Gap,Brightness Check,Dispense Option,Inspection Data,Pickup Offset Z,Eject Height,Offset Check for Dense Mounting,Tolerance: Part Size,Tolerance: Lead Width,Tolerance: Lead Pitch,Tolerance: Lead Coplanarity,Tolerance: Ball Diameter,Tolerance: Ball Pitch,Tolerance: Ball Coplanarity,L,W,Teach,Pickup Speed,Mount Speed,Pickup hold time,Mount hold time,Camera,Lighting,Recognition Speed,Recog Height,Scan Count,Recognize by Mount Angle,Automatic Height Measure(cushion end sensor),Auto Height Measure(Height Sensor),Height Measure Gap,3D Mount Gap,Pickup Offset X,Pickup Offset Y,Pickup Angle,Gang Pickup,Pickup Position Learning,Pickup Shift Tolerance,Pickup before Inspection,Mount Load (MP Head),Mount Motion (Down),Mount Motion (Up),2 Step Motion Height Offset (Down),Discard to,Thickness Measure,Thickness Upper Limit,Thickness Lower Limit,Thickness Measure Timing,Shadow Lamp Offset,Direct Lamp Offset,BGA Lamp Offset,PIP Lamp Offset,Advance Feeding,Pickup Position Auto Teach,Feeder Drive Speed,Action After Splice Detection,Advance Feed Count,Lift Speed,Pull Axis Speed,Try Position Recognition,Transfer,Transfer Load,Transfer Height,Sqeegee Gap,Transfer Time,Transfer Speed,Transfer Mode,Parts Empty Count,Pickup Error Count,Automatic Height Measure at splicing,Pickup Position Auto Teach (splicing),Rotation Check,Center Position Check,Surrounding Check,Brightness Check Count,Recog error count,Wait before Mount,Pickup Motion (Down),Pickup Motion (Up),MSD Level,NPI,Label,LCR,Mount Load (HS Head),Barcode,Dispense Option (SP)
EMA2EM2R2EB0LM4TO,RD_SMT1,,Demo Vendor 11,,Odd Shaped Component,Aluminum Electrolytic Capacitor,6.61,6.47,11.85,E1612_L,Tape and Reel,Embossed,16,12,Large (330mm),3000,0,6/27/2021 10:59,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"185,0,0,0,0",No,Yes,0.3,0.3,,Off,Off,0,0,Off,, , ,, , ,,,,Done,60,100,2X,Standard,3D camera,Direct Lighting,Auto,0,Auto,No,Yes,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,Yes,0.56,-0.56,First pickup,0,-100,200,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
0805B104K500NT,RD_SMT1,100nF/50V/10%/X7R/0805,Demo Vendor 12,,Rectangular Chip,Capacitor,2,1.25,1.25,P0804_S,Tape and Reel,Paper,8,4,Small (180mm),5000,0,6/27/2021 11:00,9/30/2021 8:48,Parts Empty Stop,Set count,No,"235,1001,0,0,0",Yes,Yes,0,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.2,-0.2,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
0805B106K100NT,RD_SMT1,10uF/10V/X7R/-10%/0805,Demo Vendor 13,,Rectangular Chip,Capacitor,2,1.25,1.25,E0804_S,Tape and Reel,Embossed,8,4,Small (180mm),5000,0,6/27/2021 11:00,9/30/2021 8:48,Parts Empty Stop,Set count,No,"235,1001,0,0,0",Yes,Yes,0,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.2,-0.2,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
WES-S-5050RGB-J-3-P9414-8P-S64,RD_SMT1,LED IC RGB 5050,Demo Vendor 14,,Leaded Component,LED,5,5,1.6,E1208_L,Tape and Reel,Embossed,12,8,Large (330mm),1000,0,6/27/2021 11:01,10/5/2021 9:07,Parts Empty Stop,Set count,Yes,"140,0,0,0,0",No,Yes,0.3,0.3,,Off,Off,0,0,Off,, , ,,,,,,,Not Yet,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.32,-0.32,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
MMBT5551LT1G,RD_SMT1,,Demo Vendor 15,,Leaded Component,SOT/Transistor,2.8,2.9,1.1,E0804_S,Tape and Reel,Embossed,8,4,Small (180mm),3000,0,6/27/2021 11:03,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"235,1001,0,0,0",Yes,Yes,0.3,0.3,,Off,Off,0,0,Off,, , ,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.22,-0.22,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
S-5050RGB-J-3-S64,RD_SMT1,LED RGB 5050,Demo Vendor 16,,Leaded Component,LED,5,5,1.6,E1208_L,Tape and Reel,Embossed,12,8,Large (330mm),1000,0,6/27/2021 11:03,10/5/2021 9:08,Parts Empty Stop,Set count,Yes,"140,0,0,0,0",No,Yes,0.3,0.3,,Off,Off,0,0,Off,, , ,,,,,,,Not Yet,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.32,-0.32,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
FH254H710-SMT-1P3X,RD_SMT1,,Demo Vendor 17,,Odd Shaped Component,Connector-1 Side,8.43,5.36,8.5,E2412_L,Tape and Reel,Embossed,24,12,Large (330mm),300,0,6/27/2021 11:03,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"140,1003,0,0,0",Yes,Yes,0.5,0.3,,Off,Off,0,0,Off,, ,1.783,, , ,,,,Done,80,100,4X,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,Yes,0.6,-0.6,First pickup,0,110,70,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
STW9A12D-E1-6500k,RD_SMT1,3V-65mA-6500K-SSC-Ra90,Demo Vendor 18,,Rectangular Chip,LED,3.6,2.7,0.7,E0804_L,Tape and Reel,Embossed,8,4,Large (330mm),16000,0,6/27/2021 11:03,12/20/2021 7:20,Parts Empty Stop,Set count,Yes,"235,240,0,0,0",No,Yes,0.3,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,No,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.14,-0.14,First pickup,100,-255,0,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
STW8A12D-S1,RD_SMT1,3V-65mA 3000K SSC Ra80,Demo Vendor 19,,Rectangular Chip,LED,3.6,2.7,0.7,E0804_L,Tape and Reel,Embossed,8,4,Large (330mm),16000,0,6/27/2021 11:03,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"235,0,0,0,0",Yes,Yes,0.3,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,80,100,2X,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,No,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.14,-0.14,First pickup,100,-255,0,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
RS-06K101JT,RD_SMT1,1206/100R/0.25W/5%,Demo Vendor 20,,Rectangular Chip,Fixed Resistor,3.2,1.6,0.55,P0804_S,Tape and Reel,Paper,8,4,Small (180mm),5000,0,6/27/2021 14:12,9/30/2021 8:48,Parts Empty Stop,Set count,No,"235,0,0,0,0",Yes,Yes,0,0.65,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.12,-0.12,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
RS-06K121JT,RD_SMT1,1206/120R/0.25/5%,Demo Vendor 21,,Rectangular Chip,Fixed Resistor,3.2,1.6,0.55,P0804_L,Tape and Reel,Paper,8,4,Large (330mm),5000,0,6/27/2021 14:22,9/30/2021 8:48,Parts Empty Stop,Set count,No,"235,240,0,0,0",Yes,Yes,0,0.3,,Off,Off,0,0,Off,,,,,,,,,,Not Yet,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.11,-0.11,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
RS-05K101JT,RD_SMT1,0805/100R/0.125/5%,Demo Vendor 22,,Rectangular Chip,Fixed Resistor,2,1.25,0.65,P0804_S,Tape and Reel,Paper,8,4,Small (180mm),5000,0,6/29/2021 15:09,9/30/2021 8:48,Parts Empty Stop,Set count,No,"235,1001,0,0,0",Yes,Yes,0,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.2,-0.2,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
RS-05K241JT,RD_SMT1,240R/0.125W/5%/0805,Demo Vendor 23,,Rectangular Chip,Fixed Resistor,2,1.25,0.5,P0804_S,Tape and Reel,Paper,8,4,Small (180mm),5000,0,7/3/2021 14:26,9/30/2021 8:48,Parts Empty Stop,Set count,No,"235,0,0,0,0",Yes,Yes,0,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.2,-0.2,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
RS-05K221JT,RD_SMT1,220R/0.125W/5%/0805,Demo Vendor 24,,Rectangular Chip,Fixed Resistor,2,1.25,0.5,P0804_S,Tape and Reel,Paper,8,4,Small (180mm),5000,0,7/3/2021 14:26,9/30/2021 8:48,Parts Empty Stop,Set count,No,"235,0,0,0,0",Yes,Yes,0,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.2,-0.2,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
RS-05K102JT,RD_SMT1,1K/0.125W/5%/0805,Demo Vendor 25,,Rectangular Chip,Fixed Resistor,2,1.25,0.5,P0804_S,Tape and Reel,Paper,8,4,Small (180mm),5000,0,7/3/2021 14:26,9/30/2021 8:48,Parts Empty Stop,Set count,No,"235,0,0,0,0",Yes,Yes,0,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.2,-0.2,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
PTS526SM15SMTR2LFS,RD_SMT1,NUT NHAN,Demo Vendor 26,,Leaded Component,Switch,6.4,5.07,1.5,E1208_L,Tape and Reel,Embossed,12,8,Large (330mm),4000,0,7/3/2021 14:26,9/30/2021 8:48,Parts Empty Stop,Set count,No,"273,0,0,0,0",No,Yes,0.3,0.3,,Off,Off,0.2,0,Off,, , ,,,,,,,Done,60,60,4X,Standard,2D/3DAuto select,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.22,-0.22,First pickup,0,20,100,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
PSC-2012S35FC,RD_SMT1,LED 0805 MAU DO/2.0-2.4V/20mA,Demo Vendor 27,,Rectangular Chip,LED,2,1.25,1.08,E0804_S,Tape and Reel,Embossed,8,4,Small (180mm),1000,0,7/3/2021 14:26,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"230,235,0,0,0",Yes,Yes,0.3,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.07,-0.07,First pickup,0,0,0,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
PSC-2012U51GC,RD_SMT1,LED 0805 XANH LA/2.8-3.6V/20mA,Demo Vendor 28,,Rectangular Chip,LED,2,1.25,1.08,E0804_S,Tape and Reel,Embossed,8,4,Small (180mm),1000,0,7/3/2021 14:26,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"230,235,0,0,0",Yes,Yes,0.3,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.07,-0.07,First pickup,0,0,0,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
RS-06K102JT,RD_SMT1,1K/0.25/5%/1206,Demo Vendor 29,,Rectangular Chip,Fixed Resistor,3.2,1.6,0.6,P0804_S,Tape and Reel,Paper,8,4,Small (180mm),5000,0,7/3/2021 14:26,9/30/2021 8:48,Parts Empty Stop,Set count,No,"240,235,0,0,0",Yes,Yes,0,0.65,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.12,-0.12,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
